,text
318,"Covid-19: Do vaccines work against omicron—and other questions answered. @emahase_ rounds up what we know so far about omicron

@bmj_latest 

https://t.co/zyBOlzfBlv"
319,@AdamParkhomenko Covid doesn’t care who you are. Get vaccinated
320,"@davidkurten I had covid, in the year 2020 BV (Before vaccines). According to mainstream media, I am dead."
321,I tested positive for Covid 19 so I’m staying home and playing bayonetta 2 for the next couple days
322,"All Other Members Of #SuperJunior Test Negative For COVID-19 After #ChoiSiwon Tests Positive
https://t.co/MzGHZr5k62 https://t.co/Zc4aOh5Tji"
323,"Where do we go for an apology? We’ve literally known since July with Delta that the vaccinated were still getting and spreading COVID, but the Covidians kept blindly lying. https://t.co/WE5FxiULc3"
324,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
325,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab"
326,"SHOCKING: Crisis actor admits playing the part of a patient struggling with COVID-19.

She shows her contract detailing her role, which details she has to pretend she is short of breath. https://t.co/wmUjeqLaq3"
327,"My kids have been off school for 3 weeks due to covid, my wife hasn’t been able to go to work at hospital, because of her Covid. I’m probably going to catch Covid from a house full of covid. So pleased they decided not to mitigate in schools. Really helped get life back to normal"
328,"At what point do we seriously discuss making rapid home self-test kits (to learn if you're infected with COVID and if so to take precautions, not attend gathernigs, etc.) and n95 masks (to wear in all indoor situations, etc.) to every household in Massachusetts?
#EqualAccess"
329,"Right now 100% of the patients on our Critical Care Covid unit are unvaccinated.

They are young. 
All between 30 - 57 years old.
All eligible for a vaccine.

Severe covid is a preventable disease. 

Please get the Jab and when asked get a booster."
330,"In October, the reddest tenth of the country saw death rates that were six times higher than the bluest tenth, according to Charles Gaba, an independent health care analyst https://t.co/5Dx1nrr8X8"
331,"@ilfcombeafc v @BrislingtonFC team news.
Subs.
12. S Lewis.
14. N Graydon.
15. R Lynskey.
Not at the game. Covid booster has done me. Hoping @neilgraydon83 will keep me updated https://t.co/WSdvRMelSX"
332,"Yes, actually @GovChrisSununu we do care...about over-burdened ICU's, COVID-safety, masks &amp; vaccines, Roe v.Wade, reproductive freedom, DE&amp;I, public schools, property taxes, fair maps, voting rights, utility bills, the housing crisis, mental health &amp;...but you do you. #NHPolitics https://t.co/3PlS9VENKT"
333,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
334,CNN refuses to put a Covid death count tracker on air because the number is higher under Joe Biden than Donald Trump.
335,"@Sflecce @C_Mulroney @YRDSB Ontario is reporting 1,607 new cases of covid today. For comparison last Saturday 1,053 cases were reported. 1,848 cases were reported on December 11,2020. Sadly 5 more deaths were reported."
336,@itvnews no one would be surprised there Scotland and Wales have went same way with covid from day 1. When will Eng change not long or Christmas
337,"#VAERS data for the week through 12-03-2021. 
https://t.co/qbg1Z54mo8

to quote Rochelle Walensky, MD, MPH

""To date, no serious safety concerns have been identified."" https://t.co/hJ9Oe3l9G8"
338,"Contrary to the claims made by Dr Rachel Clarke and Professor Stephen Powis last month, new data out this week shows that the majority of Covid ICU admissions in October and November were among the vaccinated. https://t.co/wU4N0skW0l"
339,"The very same hunt whose leading huntsman was found GUILTY of his dogs being dangerously out of control for killing a family's beloved cat - were awarded £10,000+ from taxpayer funded small business covid grant last year. 

RT if you agree they should give every penny back"
340,@fact_covid I am so sick of all of our media. It all needs to be boycotted by the public in general.
341,"Keep pushing back. Stand up. 

We are winning. 

https://t.co/gRe8HSJsTi"
342,"The government needs to fund and implement a multi-layered, scientifically recognised covid mitigation strategy for schools, to protect vulnerable children | Sarah Saul

@HoppySaul @BylineTimes 
https://t.co/c9ToCXi1vL"
343,"Dunno if anyone needs to know this but it seems the NHS site has been updated to allow booster booking for 30+ yrs  - just discovered I can book mine now
https://t.co/LHFF8Gw1bH"
344,"Remember when Boris confirmed the Covid tests only worked in 7% of cases. 93% are false, yet they now claim 10’s of thousands of tests are accurate. The contradictions are endless. https://t.co/uJQORK28Vy"
345,"STUDENTS SLAM Sex Harass
Girls walk out of East Village middle school — say staff doesn’t stop the cruelty https://t.co/XsANjsrg50, https://t.co/ELARwKJKRo

Grab Your Masks, AGAIN 
Gov: Wear masks indoors if biz doesn’t require vax https://t.co/sfj6BIB9uY, https://t.co/tk6YZaqXsL https://t.co/CiOO0VzVGO"
346,"Tory MPs voting against Covid Plan B “to protect civil liberties”, when this week they voted to give the government powers to strip almost 6 million Brits of their citizenship without notice or notification.

Maybe, just maybe, they don’t really care about civil liberties."
347,"Sunmary of this 1:39min cut:

- Rei said she’s from space
- Gaeul thinks people (?) from space uses English too bc Rei spoke English
- Wonyoung asking Rei if they have covid in space too &amp; if she’s vaccinated
- Gaeul questioning Wonyoung’s logic bc there’s no air in space

😭😭😭 https://t.co/4QqNLUNapS"
348,"U.K. faces an unparalleled Covid crisis. That danger is compounded by Boris Johnson, a rogue PM in free fall, and the crazy wing of the Tories, who prefer bogus ‘liberties’ to human life. The worst of governments at the worst of times"
349,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
350,"@sfchronicle A paywall on a COVID article? Really? Responsible news orgs don’t do that.

Also, your paywalll freezes our phones and computers. Super tacky."
351,"2 additional confirmed cases of the #Omicron variant of COVID-19 have been reported across Wales. 
The total number of confirmed COVID-19 Omicron cases in Wales is 15."
352,@MarkDavidsonAfr @Clint_ZA @RHMcK1 @bellamoc @RomanCabanac @VP @KamalaHarris Where the scoreboard like we have of all covid cases and deaths?
353,"In their rancour for SilentStrikeDec10,SAC thugs threatened those stores&amp; shops which took part in strike in TaungDwinGyi not to open for 1week–1month on pretext of COVID-19. Plus, itinerant sellers were BANNED to sell in downtown this morning. #Dec11Coup #WhatsHappeningInMyanmar https://t.co/IwFYCuH1Qw"
354,Only 1 Out Of 450 Int’l Travelers Tested Positive For Covid : ADC Srinagar https://t.co/19wEArX13I
355,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab"
356,"Vaccines that require 3 or more doses within 12 months:

-Diphtheria/Tetanus/Pertussis
-Polio 
-Hepatitis B
-Human papillomavirus
-COVID-19"
357,"Ontario is reporting 1,607 new cases of covid today. For comparison last Saturday 1,053 cases were reported. 1,848 cases were reported on December 11,2020. Sadly 5 more deaths were reported."
358,"New Zealand's Jacinda Ardern on Her Change in Covid Strategy #theJournal 
https://t.co/UjOJqSZcBZ via @PodcastAddict"
359,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
360,"#OmicronVariant latest information
633 additional confirmed cases of the #Omicron variant of #COVID19 have been reported across the UK. 
The total number of confirmed COVID-19 Omicron cases in the UK is 1,898. https://t.co/407uAW76Pp"
361,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
362,"Pfizer Recorded 1,223 Possible Vaccine Deaths During First 90 Days of COVID Vaccine Rollout https://t.co/sZ2BCSOPxo"
363,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
364,"Covid death rate plunges to lowest-ever in South Africa, as the very mild variant now accounts for 90% of cases there. 

Wowser. It's over.... https://t.co/fCbfs7uyln"
365,"All #WannaOne Members Test Negative For COVID-19 + #2021MAMA Pre-Recording Rescheduled
https://t.co/N9O9fUce33 https://t.co/VCW3NdnQrL"
366,"A group of “risk-averse” and “super responsible people” let their guard down enough to become unwitting vectors of COVID-19, showing just how vulnerable even vaccinated people remain to the virus when indoors and in groups.

https://t.co/u6lIstyZhF"
367,"Omicron appears to be spreading faster in the UK than in South Africa, experts say | @BISouthAfrica 

https://t.co/uWwkRmbfGF https://t.co/OFT9Jd3sfz"
368,"In California, Latinos ages 20 to 54 have died from COVID-19 at a rate more than eight times higher than white people of the same age, according to one USC study. Many died before vaccines were widely available, writes @r_valejandra https://t.co/A9JkvNe2zm"
369,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
370,@GBNEWS @MarkSteynOnline We’ve become addicted to ‘covid management’. All governments.
371,A unusual #christmasgift my book The Covid Drawings available online and from all good #booksellerss please share @BeresfordPeter @AnneCooke14 @PeteFleischmann @MslizBentley @flexiblefilms @AlisonF101 @fleischster @COMMANDER_WORF @BenPlimp @AKousoulis @Rye_Books @PaulKindersley https://t.co/64g1JuwvRH
372,"Does anyone seriously believe the UK will hit a million COVID cases a day by Christmas, when the highest ever number previously was 81,000?"
373,"Repeat after me:

Covid is a disability rights issue."
374,"Scotland is due £145 million in Covid business support in Barnett consequentials from the British Gov 
The British Gov were due to hand over the money in March 
The Tories have failed Scottish businesses yet again."
375,"In their rancour for SilentStrikeDec10,SAC thugs threatened those stores&amp; shops which took part in strike in TaungDwinGyi not to open for 1week–1month on pretext of COVID-19. Plus, itinerant sellers were BANNED to sell in downtown this morning. #Dec11Coup #WhatsHappeningInMyanmar https://t.co/LT9IijeAIX"
376,"#OmicronVariant latest information
633 additional confirmed cases of the #Omicron variant of #COVID19 have been reported across the UK. 
The total number of confirmed COVID-19 Omicron cases in the UK is 1,898. https://t.co/407uAW76Pp"
377,Trouble for DeSantis As University of Florida Initiates Investigation into Claims from Researchers Who Were Pressured to Destroy Covid-19 Data https://t.co/iOMaohmAZw via @politicususa
378,"As Omicron Hits U.K., Scientists Say Vaccines Provide Reduced Protection https://t.co/xltHTpQ9P0"
379,"@gdunbarap My partner is currently in an ICU fighting for his life due to complications from COVID.

Anyone who would willingly expose players, staff, families, friends and innocent strangers who may have had contact, to this, is a ****."
380,"I want Johnson &amp; all Tories out because of Brexit, Covid mishandling, corruption, lies, &amp; trashing our country's economy &amp; reputation.
Why does it only take the by-blows of corruption &amp; selfishness, viz parties, to shake the foundations?
- I want PR, constitutionality, &amp; Rejoin."
381,S'pore reports 559 new Covid-19 infections and 6 deaths; ICU utilisation rate falls to 48.6% https://t.co/K1ptaVTj2i
382,"Anti-vax doctor was fired for trying to treat Covid patients w/ ivermectin. Dr. John Witcher, an ER doc at a Mississippi hospital, took 3 patients off remdesivir, an antiviral &amp; put them on ivermectin, an anti-parasitic. He's known for promoting quackery https://t.co/ON5vNwOF1D"
383,"Viral Immunologist, Dr. Byram Bridle, PhD, debunks the narrative that masks protect people from Covid, as he indisputably shows aerosols penetrating 5 surgical masks.

Full video link: https://t.co/bq50SNJZTP https://t.co/jjBUPlLzqY"
384,"Mental health has become its own pandemic during Covid, with soaring rates of anxiety, depression and burnout. Psychologists say both resilience and the ability to grow from adversity can be cultivated. Here are four ways to get started. https://t.co/0e6BF03HkF"
385,"🚑 The 35th Ranger Force Regiment deployed Army personnel to help car crash victims and facilitate traffic on Highway 105 (Mae Sot - Mae Sariang) by adhering strictly to COVID-19 preventive measures. 

#RTA #HelpPeople #COVID19 #volunteers #ACCIDENT https://t.co/h48W9lqAzF"
386,UK #Covid news live: New Covid measures advised as 30% of #London cases now #Omicron  https://t.co/AOTbxcUqBN
387,I’m old enough to remember when David Perdue secretly sold millions of dollars worth of stocks before the public knew about COVID.
388,"CFL award last night
So many have died. So many have had their cancer surgeries cancelled.  So many kids have education online and suffer. Vacations cancelled. We're told to limit gatherings for Christmas.  But this is allowed https://t.co/twPtdWsNai"
389,"""We have more patients than we've ever had at any point, and we're seeing more people die at a rate we've never seen die before,""
https://t.co/8JDbyG1USt"
390,"The very same hunt whose leading huntsman was found GUILTY of his dogs being dangerously out of control for killing a family's beloved cat - were awarded £10,000+ from taxpayer funded small business covid grant last year. 

RT if you agree they should give every penny back"
391,"Doug Ford finally lifted his reckless expiration date for vaccine certificates. His need to declare ""mission accomplished"" at an arbitrary date emboldened anti-vaxxers and jeopardized Ontario's fight against COVID-19. #onpoli 

https://t.co/ZftbKbYrLx"
392,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
393,"London Ontario;
A staff case of COVID-19 has delayed surgeries in four operating rooms at St. Joseph’s Health Care, the hospital said Friday evening.

That’s because exposure to the case has forced 25 staff and doctors to isolate.

 https://t.co/ms4uDlJBUx"
394,"Talk vasthe Xroads closing 2cr gross avpl covid valla miss aina Pushpa tho kodtam 
#PushpaTheRiseOnDec17"
395,Jacob Rees Mogg seems to find the Covid restrictions all rather amusing but then he thinks the Grenfell victims lacked common sense and raped children should be denied an abortion. A callous and uncaring man imo.
396,Half the people I encounter are living like Covid doesn’t exist. The other half is perpetually practicing risk mitigation like it’s their job. The cognitive dissonance is wild. Wild.
397,I am just glad I live in Florida where freedom and common sense are the norm. People actually think about COVID rationally here without peer pressure and groupthink.
398,Today is graduation &amp; I'm still at home getting over Covid 🥺 Just my luck but Happy Graduation Day to VSU grads 👩🏾‍🎓🤩
399,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
400,"As some students struggle, with other learners still home because of the pandemic, the COVID-19 has been a blessing for others. 

#NBSYourStory #NBSUpdates https://t.co/Bc4b3rjPq4"
401,"US capitalism: fails to cope with Covid, fails to prevent economic crash, and now hits working class with a 7% inflation more than canceling a 5% wage increase. How long till its victims and critics ally to do better than capitalism?"
402,@BlackberryXRP No tv no COVID
403,I’m old enough to remember when David Perdue secretly sold millions of dollars worth of stocks before the public knew about COVID.
404,"Those closest to Boris Johnson laughed as they practiced how to lie to us about a Christmas party. We won’t stand by and watch. This is what we’re doing about it 👇
https://t.co/QxzWUV1fZA https://t.co/Vo5uCwGUWB"
405,"The NHS Covid Pass is a modern-day digital version of the Gesundheitspass (health pass) of the Nazi regime. 
It has no place in England, Wales, Scotland or Northern Ireland. https://t.co/UtXXQVSxLM"
406,"@heybabyzr0 If someone only read my last tweet. 
It has nothing to do with statistics etc anymore. The issue now is diplomatic relationships. Countries doesn't want to acknowledge each other's covid pass."
407,"“SAGE expert calls for five-year-olds to be jabbed to fight off the impending Omicron wave.”

Again, my children are not human shields for those that are Covid obsessives..
The JCVI said that they have no medium to long term data.
That ends it for me. https://t.co/JPxHSF8kO0"
408,"This important new paper by Matthew Gandy takes a longer view of the COVID pandemic, by tracing the evolving relationship between urbanization and zoonotic diseases, most understandings of which remain Eurocentric and require nuanced conceptions of global environmental history. https://t.co/i6pjI47gbW"
409,"@pulte I've been struggling so much this year. Lost my job at the beginning of the year, had to take a significant pay cut and now I have covid and am out of work with no pay. I desperately need help $ICLANanc please please Anything would help"
410,"St. Joseph's cancels surgeries as 25 doctors, staff isolating because of COVID case https://t.co/iD7b0ypE2l"
411,"@rkj_ramo @ajamubaraka Not true. Delta wasn't found in 🇺🇸 until May, &amp; deaths are ⏬ since late-summer Delta surge, which was far less deadly than last winter wave. Now mild case-inducing Omicron becoming most infectious variant. Pandemic is over; covid is endemic &amp; here to stay
https://t.co/5gghEIgeZ4"
412,🇧🇬 COVID in Europe: Bulgaria's jabbed rate is the lowest in the EU. Only 26.4% are fully jabbed. https://t.co/xwYjL3vlIy
413,"@PrinceZAfrique @Andile45597224 @bongzmessi You are missing the science/the point. 
No vaccine prevents getting a virus, none.
What a vaccine does is stop the virus in its tracks. 
If I get Covid I will NOT die BECAUSE I AM vaccinated.
The people who ARE DYING are the UNvaccinated.
THINK!
Why can you not unsterstand that?"
414,Covid really exposed some really shocking opinions. We’re in a pandemic. Human beings are dying. You want to come to a country for the festive season. The country says vaccinate before you come so it can protect its citizens and prevent the spread. You don’t agree. Is it ment?
415,"Michigan is such a shit show right now, after being vaccinated and boosted and religious with my mask, I have Covid. Fortunately I have zero symptoms. The vaccines work! Has anyone else had Covid with no or very few symptoms?"
416,My brother’s triple-jabbed - the third one was Pfizer 3-4 wks ago. He’s just got covid &amp; feels ‘rough’ &amp; is isolating. Had a Xmas meal out with a load of mates last Friday - all of them vaccinated - 17 out of 21 of them have now tested positive.
417,"Tory MPs voting against Covid Plan B “to protect civil liberties”, when this week they voted to give the government powers to strip almost 6 million Brits of their citizenship without notice or notification.

Maybe, just maybe, they don’t really care about civil liberties."
418,@TheTimeMAN_ @OgbeniDipo Yeah but Covid really distort a lot of things
419,"#Meghalaya: Almost 200 people wanted to testify about receiving partial payments or not receiving anything at all. 

#EastStory #NorthEastIndia https://t.co/rtsKg4y0yb"
420,$AMC almost went bankrupt several times during the Covid-19 shutdowns. Large institutional funds established “aggressive” short positions with the expectation $AMC would declare bankruptcy. This has not and will not happen. Shorts have not covered. Play stands.
421,"🚨There were over 58,000 COVID cases in the UK yesterday 🚨

💙Please wear masks💙

Wearing masks helps to protect our communities from COVID-19…

👉https://t.co/JkiFynE4P1 https://t.co/OjjcVS5Ch1"
422,@velk @NifMuhammad i assume he’s being metaphorical but it did make me think of long covid as well
423,"@VyvyMets @tydosh @sfchronicle It’s an endemic, goofy. It’s not going away. Omicron is already proving to have milder symptoms than Delta. This is good news. Lay off the fear porn, get your booster and live your life. We’re all gonna get Covid at some point just like a cold."
424,"#VAERS data for the week through 12-03-2021. 
https://t.co/qbg1Z54mo8

to quote Rochelle Walensky, MD, MPH

""To date, no serious safety concerns have been identified."" https://t.co/hJ9Oe3l9G8"
425,"“For your kids, your entire family, as well as for the community at large.”

Hear from Dr. Fauci and former President Obama about how COVID vaccines are the best protection against severe illness.

Find vaccines near you at https://t.co/jDq2UIHFmT. #WeCanDoThis https://t.co/fTadRXSA4l"
426,"2 additional confirmed cases of the #Omicron variant of COVID-19 have been reported across Northern Ireland. 
The total number of confirmed COVID-19 Omicron cases in Northern Ireland is 5."
427,KunstlerCast 352 — Another Lap with Dr. David E. Martin Investigating the Origins of the Covid-19 Vaccines | Kunstler https://t.co/SxMXKSIaSE
428,People who are running around using their covid passes at every given moment are being played like a character in a video game. https://t.co/AztmgIuMwn
429,"@covie_93 Only because I he couldn’t figure out a way to NOT COUNT THE VOTES. I’m giving him ZERO for anything. He botched his role in Covid-19, he didn’t do anything to curb tfg. He gets no points. NONE."
430,"Covid-19 Bereaved Families for Justice statement on exclusive polling revealing third of UK public believe No 10 Christmas parties will lead to more deaths in a new wave. 

68% polled will blame @BorisJohnson or @Conservatives for any undermining of public health measures. 

1/4 https://t.co/jcB8pF06LB"
431,"@mrleggaiy1 @george_12086639 @SylviaPatcas @6NewsAU Where did those covid deaths disappear to over the last 2 years? Was it on its gap year for the last two years? 😂 150k died from all manner of things, the only common denominator was a positive PCR test ran at a ludicrous 45 cycles, they only had to die within 28 days of it."
432,"150 train services cancelled in Central Belt as more ScotRail staff self-isolate

https://t.co/WsX1S0V4tG"
433,@SenMastriano Woohoo Covid! Fuck yeah!! https://t.co/IF7oo2XEbM
434,"SO stoked for this today! I've really missed going to concerts due to Covid, so to be able to see @TriviumOfficial and @fitforanautopsy is going to be amazing!!! https://t.co/qoXyHbmBGf"
435,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab"
436,@DMRegister Covid Covid Covid Covid articles with a few transgender stories-that’s all the Ragister has…
437,"Curmudgeons Corner:

Mother Nature at work in Western, KY.

It's not Covid this time!
https://t.co/nXjTdm432v"
438,"Tory MPs voting against Covid Plan B “to protect civil liberties”, when this week they voted to give the government powers to strip almost 6 million Brits of their citizenship without notice or notification.

Maybe, just maybe, they don’t really care about civil liberties."
439,"#COVID19 resurgence forecast for #Canada, worse if #Omicron replaces #Delta: @CPHO_Canada | @cp24toronto2
https://t.co/vjNXnyXht8"
440,@BeddoeE You would think as that sounds logical but really need to get under all this? 🤔 eg So higher rates of transmission in more affluent areas here as more mobile Those who have no money etc stay at home less transmission Covid can turn assumptions on its head 🇳🇿🔒 interesting 🧐
441,"SHOCKING: Crisis actor admits playing the part of a patient struggling with COVID-19.

She shows her contract detailing her role, which details she has to pretend she is short of breath. https://t.co/wmUjeqLaq3"
442,"Are you doing some holiday shopping today?! Donate at Shawnee Mall, Quail Springs Mall and the OKC Outlets today for a chance to win a new SMART TV. You'll also get a free COVID-19 antibody test and a new shirt! Come see us! #okc #oklahomacity #shawneeok https://t.co/i6vlroj5At"
443,"Psaki defends Biden's Covid Restrictions... as kids freeze to eat lunch

Parents like having their little ones shiver outside in freezing temperatures to uphold Covid standards, according to WH spox Jen Psaki... ""It's no big deal,"" for her 3-year-old. https://t.co/uqw3zMwIGp"
444,"Second year in a row, #NHS staff are giving up their work Christmas celebrations to reduce chances of being off work isolating with ever increasing (now) Omicron #COVID variant, so we can be there for the public when desperately needed.

@BorisJohnson DO BETTER 🤨

@NHSMillion"
445,"Next best I tipped WBA CB’s but there’s only one senior one in the squad 😂

Cash this out

I’d advise having 1pt on Bartley anytime &amp; 0.5pts on a Bartley goal &amp; card. Late covid outbreak I think https://t.co/7tcIGkF8Tl https://t.co/Vf7RGvSF3r"
446,"5% all beds with Covid patients. 70% all Obiad admissions fully vaxed. 

Any other statement is a lie. 

However the wards are overflowing with 10,000 well elderly who cannot be discharged to the community because the gov saw 40,000 leave due to no jab/no job. 

Wake up please! https://t.co/GcarxeQN6D"
447,Hotel party featuring Take That tribute band linked to Covid-19 outbreak https://t.co/A6buk1RIr6
448,Covid (is) thee biggest hoax that's ever been perpetuated on the American people
449,🇧🇬 COVID in Europe: Bulgaria's jabbed rate is the lowest in the EU. Only 26.4% are fully jabbed. https://t.co/xwYjL3vlIy
450,"What the hell is this special exam?
Why they are playing with us like a ludo game ?
Mdcat is not like a exams of junior classes our entire future depend upon this test.
Tgey can arrange separate halls for covid + students
#DelayMDCAT2020
#ShameonPmc 
#no2tests
#saynotospecialexam https://t.co/tIPzXFnWND"
451,"If you spit in someone’s face during a pandemic, you should be charged with attempted murder. I’m so fucking sick of violent asshole Covid deniers."
452,"In Germany the new Health Secretary is a medical doctor who's an absolute expert on Covid. In the UK, the Health Secretary is an ex-banker. I think that says more about the UK than Germany."
453,"The fact that airline travel is not especially dangerous for COVID spread tells us good indoor ventilation is the key.

Is there a consumer device that can continuously measure ventilation quality indoors?"
454,Achieving Success During COVID-19 There's no use in denying the fact that most of the world is currently under some https://t.co/dCDQ24QJ49
455,"Right now 100% of the patients on our Critical Care Covid unit are unvaccinated.

They are young. 
All between 30 - 57 years old.
All eligible for a vaccine.

Severe covid is a preventable disease. 

Please get the Jab and when asked get a booster."
456,Prayers for those brave nurses  who are speaking the truth! About Covid Vaccine side effects ! 🙏🙏
457,"@KarlMar05384385 @HerdImmunity12 @mr_ed_peters @afneil @BorisJohnson @NickFerrariLBC I blew it up to support the pro vax but still in perspective at 5M it's a fkn blatant power grab. 

In Feb I know of car accidents and motorbike crashes where families had been ask if they could write up as covid. 

Never thought we would be here."
458,"SHOCKING: Crisis actor admits playing the part of a patient struggling with COVID-19.

She shows her contract detailing her role, which details she has to pretend she is short of breath. https://t.co/wmUjeqLaq3"
459,"@Stacie_loves @sfchronicle Liberals in April: ""Get vaxxed, and we will end covid.  You can't catch covid if you're vaxxed."" 

Liberals in December: ""Yeah they were vaxxed and helped spread the newest variant around, but at least they didn't get that sick"""
460,"Just because you go to a hospital for a broken toe and you test positive for the weakest Covid variant ever, it should not count as a Covid 'hospitalization.' We're onto your grift, con artists!"
461,"The government needs to fund and implement a multi-layered, scientifically recognised covid mitigation strategy for schools, to protect vulnerable children | Sarah Saul

@HoppySaul @BylineTimes 
https://t.co/c9ToCXi1vL"
462,"Upcoming first and second dose COVID-19 vaccine pop-up clinics at Lynden Park Mall, 84 Lynden Rd., Brantford. No appointment necessary. Clinics are for those born in 2009 or earlier. Please bring your health card or government issued-photo ID. https://t.co/Kpl9gKqGJh https://t.co/s8V3kqY16g"
463,"Sophomore Highlights (Four Full Games)
6”3 225lbs
Outside linebacker 
*13 sacks
*10 TFL
*31 Tackles
*2 FF
*2 TD’s
*1 PBU
Didn’t play many games due to COVID but look at the stats 🥶@CoachMcCannERT

https://t.co/2iKcVHQd6k"
464,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
465,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
466,@DrReality5 Do you think at some point early next year when Paxlovid is approved (not to judge it’s efficacy) and the “coastal surges” wane that someone like Anthony Fauci will declare covid is little different than the flu and use that to try to save the Democrats
467,Former NFL wide receiver Joshua Bellamy sentenced to 3 years for Covid relief fraud https://t.co/1kqBG9sKxd
468,@redsteeze All they're gonna do is blame covid &amp; Jan 6th for their shit policies.
469,"BREAKING - Whilst you were distracted by a Christmas Party the UK Gov. released a report confirming the Fully Vaccinated account for 4 in every 5 C-19 Deaths in England since August…
https://t.co/v4Jj52gkyt"
470,"Big fascist tough guy poster boy fish stick Nazi Tucker Carlson says COVID-19 “feminizes people.” So since he hasn’t had it, what’s his excuse? https://t.co/xFPQ0aFaYP"
471,SCALP: COVID Investigator Funded By Chinese Communist Party Removed From WHO Team Following National Pulse Exposé. https://t.co/Co2UDV6P3F
472,"It's a crime that we're not told vaccination status of the hospitalized patients. We should get data on  ages, vaccination status, which vaccines, when vaccinated and if they got  boosters. PH is failing us by not providing vital information. https://t.co/BzTOheKv1v"
473,"This is mind blowing. 
Short version:
- it turns out having exposure “common cold” coronavirus might lead to MORE severe C19 disease which may be why children fare so well against Covid
BUT!
- being vaccinated against early SARS-2 variants causes the SAME problem! 🤯 https://t.co/I2YbeJQa99 https://t.co/qJTkRp6TLU"
474,"Medical device company EmitBio is testing a device that uses precise light frequencies it claims can keep the coronavirus at bay
https://t.co/eOliZ7OgWS"
475,"The amount of abuse scientists and doctors get for simply stating the facts about Covid-19 and the pandemic is unreal

Our jobs is only to analyse and give information based on data, or to treat those who are sick

We do not decide policy or rules, that’s for elected officials"
476,@Tania_and_Bunny What's gonna end first? TGCF or covid?
477,"‘Get yr booster jab’ say health officials, as analysis by UK Health Security Agency shows 3rd dose prevents abt 75% of us frm getting Covid symptoms. Omicron is spreading so fast we’re all likely to come into contact w an infected person, a scientist said. https://t.co/CwBwmlEJfu"
478,@rushmeentweets Grateful for being alive and surviving Covid 19. 🙏🙏
479,"Still waiting for an apology from Mark Meadows, Mike Pence, Keith Kellogg &amp; other fmr colleagues from the Trump White House who called me a liar/disgruntled employee for telling Americans the truth about Trump’s recklessness on Covid when it mattered &amp; not saving it for a book."
480,"#OmicronVariant latest information
633 additional confirmed cases of the #Omicron variant of #COVID19 have been reported across the UK. 
The total number of confirmed COVID-19 Omicron cases in the UK is 1,898. https://t.co/407uAW76Pp"
481,"No one I know has died from covid. 

You?"
482,"The amount of abuse scientists and doctors get for simply stating the facts about Covid-19 and the pandemic is unreal

Our jobs is only to analyse and give information based on data, or to treat those who are sick

We do not decide policy or rules, that’s for elected officials"
