Unnamed: 0,text,tweets
279,what will the WORLD HEALTH ORGANIZATION do when i keel myself in front of its offices for not approving the CANSINO COVID SHOT. not very Organizers of world health of them.,world health organization keel front offices approving shot organizers world health
280,"Man puts a pie into this airline CEO for forcing vaccinations 💉 
#covid #Lies https://t.co/7rqoEhqwlr",pie airline ceo forcing vaccinations
283,COVID-19: Omicron is by far the most worrying form of coronavirus we've seen so far - but we shouldn't be too afraid #SmartNews  https://t.co/8fzMMilccu,omicron worrying form seen afraid
284,"""How are the government still claiming that this plethora of alarmingly draconian ‘emergency’ powers are justified by a virus which delivers variant after variant and will probably never go away?"" writes barrister GEOFFREY SUMNER. 

#gript 

https://t.co/bgC1EJPASC",government claiming plethora alarmingly draconian emergency powers justified virus delivers variant variant probably writes barrister sumner
285,A really nice older dude I know just died  from Covid. His head was all twisted up by TFG/GQP/Fox news and of course he was unvaccinated. I tried to convince him he was being led down the wrong path by people who were likely vaccinated themselves :(,nice dude died head twisted fox news course unvaccinated tried convince led wrong path people vaccinated
286,"@nothingsacrd @tmrwisyesterday @RepThomasMassie I’m Covid positive with zero symptoms, I shouldn’t have tested to protect my unvaxxed kid?",positive zero symptoms tested protect kid
287,JUST IN: @SteveBakerHW has this morning warned the Covid Recovery Group of 100 Tory backbenchers that resignations from govt “are likely” in restrictions row.,morning warned recovery 100 tory backbenchers resignations restrictions row
288,"@WinstonaSmith11 @ellethejambo @KAkosombo @FletchFielder @Saffiya_Khan1 @Mb10001Mb @bobscartoons 1. ONS count death certs that mention C19. They tell us in how many cases it was the underlying cause of death. 
They label deaths as “due to” C19 when it’s the underlying cause &amp; “involving” C19 when it isn’t. 
The DM is wrong to say they were recorded as deaths “from Covid”.",1 count death certs mention tell underlying cause death label deaths due underlying cause amp involving dm wrong recorded deaths
289,"4 out of 5 people in my house are sick with what feels like the flu. (Not Covid as far as we know, tests have come back negative.) Our youngest kid is the last one standing. Hopefully they don’t get it. This is misery.",4 5 people house sick feels flu tests negative kid standing hopefully misery
290,There's a reasonable chance that the forecasts for Omicron get so comprehensively and conclusively proven wrong that it greatly accelerates the political and public transition to a post-covid environment.,reasonable chance forecasts omicron comprehensively conclusively proven wrong greatly accelerates political public transition environment
292,"🚨🚨There are 5,997 #Covid19 patients in hospital in #England.

◾️ Covid patients account for around 5% of general and acute beds

◾️ Total cases in hospital 55% lower than this time last year

◾️ 1 in 4 in with Covid but not because of it https://t.co/DBwPWYzCOw",patients hospital patients account 5 acute beds total hospital 55 lower time 1 4
293,"The entire narrative surrounding COVID is a smokescreen. Masks, vaccines, variants, it’s all nonsense.  

The larger story is behind all this.  

Creating massive genetic sequence databases, companies using that information for biotech research…",entire narrative surrounding smokescreen masks vaccines variants nonsense larger story creating massive genetic sequence databases companies using information biotech research
295,@QigongLindsay https://t.co/R7mUIYY3rf you got me thinking. Maybe check sooner! You and me both. I've been writing off unusual headaches et al symptoms as other causes but thinking about timing now think they could be side effects. 111 here I come,thinking maybe check sooner writing unusual headaches al symptoms causes thinking timing effects
296,"@GTDNI11 @StevenMcinerney Kev's coming back from Covid, its only natural that he's not at his best.",coming natural
298,"@TalKopan I agree.

It is just not worth it.

My brother and his wife went to a wedding that turned out to be a COVID outbreak. Fortunately, they were boostered and no one got really ill, but how could the married couple face it if someone died?",agree worth brother wife wedding outbreak fortunately ill married couple died
300,"The World Health Organization (WHO) has informed The Epoch Times that it has not documented any deaths from the Omicron variant of the CCP (Chinese Communist Party) virus, which causes COVID-19. Alec Baldwin still leads one to nothing.",world health organization informed epoch times documented deaths omicron variant chinese communist party virus causes baldwin leads
301,"Yesterday was a great day! ACCP study day with a very special guest. Helen, a nurse at FHN but also our first ventilated COVID patient. She gave us hope and strength and has relit our fires! She is truly amazing and cannot thank her enough for sharing her story with us 🌈 https://t.co/g7BAnWhHEe",yesterday day study day special guest helen nurse ventilated patient hope strength fires truly amazing thank sharing story
302,@therecount Lie down with dogs and you'll wake up with fleas..or covid big boy. https://t.co/LXzF0WpecI,lie dogs wake fleas boy
303,"It’s a very good question. ANS: 
My cable network news interviews: $0
My podcast interviews: $0
My writings: $0
Our Covid vaccine: $0
My grand rounds honoraria: about $800-$900
I’ve profited about $800-900, less than $1,000 one thousand https://t.co/uexCB0KOjh",question ans cable network news interviews 0 podcast interviews 0 writings 0 vaccine 0 grand rounds honoraria profited thousand
305,@noonienoodie @cdnrefusenik The ones down under are fancier but we do have our own in Canuckistan too. We call them Covid Hotels and they are brimming with wholesome sexual assaults,ones fancier own call hotels brimming wholesome sexual assaults
306,@2FloridaMermaid @jordanbpeterson Do you think covid has GPS?,gps
307,"618 additional confirmed cases of the #Omicron variant of COVID-19 have been reported across England. 
The total number of confirmed COVID-19 Omicron cases in England is 1,757.",additional confirmed variant reported england total confirmed omicron england
308,@dawnymock @johnsgunn A friend in Kingston has a permanent limp from polio from years ago. He had no issues in getting vaccinated for covid when it was his turn.,friend kingston permanent limp polio ago issues getting vaccinated
309,These new covid tests are getting silly now https://t.co/vmTqx6paDL,tests getting silly
310,South African doctors suggest omicron Covid is milder and more contagious than delta https://t.co/cjWHQZ4ymv,south african doctors suggest omicron milder contagious delta
311,"The actual state of @HeathrowAirport passport control. Family section right now... One person processing for the entire line. Its an embaressment. People bunching up, great for Covid protocols. Poorly managed, terrible impression for anyone visiting the UK",actual passport control family section person processing entire line people bunching protocols poorly managed terrible impression visiting uk
312,Taiwan confirms researcher infected with COVID in lab | Taiwan News | 2021-12-11 18:00:00 https://t.co/z5LYIm2LZ3,taiwan confirms researcher infected lab taiwan news 18
313,"#SilambarasanTR is admitted to a Chennai hospitali, due to a viral infection. It's not Covid related! 

Wishing #STR a safe and speedy recovery! 

@SilambarasanTR_",admitted chennai due viral infection related wishing safe speedy recovery
315,"With Christmas around the corner, we can’t afford to be complacent in our fight against COVID-19.
 
Remember to wear your face covering indoors, take regular lateral flow tests, and get fully vaccinated so you can spread Christmas cheer—and not COVID—this winter.",christmas corner ca afford complacent fight remember wear covering indoors regular lateral flow tests vaccinated spread christmas cheer winter
316,"Every covid vaccine location should be outdoors. People are getting covid waiting in line for the vaccine in poorly ventilated buildings stuffed full of people, a level of irony that becomes obscene tragedy. That humans can't figure this shit out is absolutely pathetic.",vaccine location outdoors people getting waiting line vaccine poorly ventilated buildings stuffed people level irony obscene tragedy humans ca figure shit absolutely pathetic
318,"Covid-19: Do vaccines work against omicron—and other questions answered. @emahase_ rounds up what we know so far about omicron

@bmj_latest 

https://t.co/zyBOlzfBlv",vaccines omicron questions answered rounds omicron
319,@AdamParkhomenko Covid doesn’t care who you are. Get vaccinated,care vaccinated
320,"@davidkurten I had covid, in the year 2020 BV (Before vaccines). According to mainstream media, I am dead.",vaccines according mainstream media am dead
321,I tested positive for Covid 19 so I’m staying home and playing bayonetta 2 for the next couple days,tested positive 19 staying home playing 2 couple days
323,"Where do we go for an apology? We’ve literally known since July with Delta that the vaccinated were still getting and spreading COVID, but the Covidians kept blindly lying. https://t.co/WE5FxiULc3",apology literally july delta vaccinated getting spreading kept blindly lying
325,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab",dearly wish live 1000s patients hospital means cancelled cancer ops staff diverted diagnostics care ambulance delays overwhelmed amp es booster help protect patients
327,"My kids have been off school for 3 weeks due to covid, my wife hasn’t been able to go to work at hospital, because of her Covid. I’m probably going to catch Covid from a house full of covid. So pleased they decided not to mitigate in schools. Really helped get life back to normal",kids school 3 weeks due wife able hospital probably catch house pleased decided mitigate schools helped life normal
328,"At what point do we seriously discuss making rapid home self-test kits (to learn if you're infected with COVID and if so to take precautions, not attend gathernigs, etc.) and n95 masks (to wear in all indoor situations, etc.) to every household in Massachusetts?
#EqualAccess",seriously discuss rapid home kits learn infected precautions attend masks wear indoor situations household massachusetts
330,"In October, the reddest tenth of the country saw death rates that were six times higher than the bluest tenth, according to Charles Gaba, an independent health care analyst https://t.co/5Dx1nrr8X8",october reddest tenth country death rates six times bluest tenth according charles gaba independent health care analyst
331,"@ilfcombeafc v @BrislingtonFC team news.
Subs.
12. S Lewis.
14. N Graydon.
15. R Lynskey.
Not at the game. Covid booster has done me. Hoping @neilgraydon83 will keep me updated https://t.co/WSdvRMelSX",team news subs 12 lewis 14 15 game booster hoping updated
332,"Yes, actually @GovChrisSununu we do care...about over-burdened ICU's, COVID-safety, masks &amp; vaccines, Roe v.Wade, reproductive freedom, DE&amp;I, public schools, property taxes, fair maps, voting rights, utility bills, the housing crisis, mental health &amp;...but you do you. #NHPolitics https://t.co/3PlS9VENKT",yes actually care icu masks amp vaccines roe wade reproductive freedom de amp public schools property taxes fair maps voting rights utility bills housing crisis mental health amp
334,CNN refuses to put a Covid death count tracker on air because the number is higher under Joe Biden than Donald Trump.,refuses death count tracker air trump
335,"@Sflecce @C_Mulroney @YRDSB Ontario is reporting 1,607 new cases of covid today. For comparison last Saturday 1,053 cases were reported. 1,848 cases were reported on December 11,2020. Sadly 5 more deaths were reported.",ontario reporting comparison saturday reported reported december sadly 5 deaths reported
336,@itvnews no one would be surprised there Scotland and Wales have went same way with covid from day 1. When will Eng change not long or Christmas,surprised scotland wales day 1 change christmas
337,"#VAERS data for the week through 12-03-2021. 
https://t.co/qbg1Z54mo8

to quote Rochelle Walensky, MD, MPH

""To date, no serious safety concerns have been identified."" https://t.co/hJ9Oe3l9G8",data week quote md mph date serious safety concerns identified
340,@fact_covid I am so sick of all of our media. It all needs to be boycotted by the public in general.,am sick media boycotted public
342,"The government needs to fund and implement a multi-layered, scientifically recognised covid mitigation strategy for schools, to protect vulnerable children | Sarah Saul

@HoppySaul @BylineTimes 
https://t.co/c9ToCXi1vL",government fund implement scientifically recognised mitigation strategy schools protect vulnerable children sarah saul
343,"Dunno if anyone needs to know this but it seems the NHS site has been updated to allow booster booking for 30+ yrs  - just discovered I can book mine now
https://t.co/LHFF8Gw1bH",nhs site updated allow booster booking 30 yrs discovered book mine
344,"Remember when Boris confirmed the Covid tests only worked in 7% of cases. 93% are false, yet they now claim 10’s of thousands of tests are accurate. The contradictions are endless. https://t.co/uJQORK28Vy",remember confirmed tests 7 93 false claim 10 thousands tests accurate contradictions endless
345,"STUDENTS SLAM Sex Harass
Girls walk out of East Village middle school — say staff doesn’t stop the cruelty https://t.co/XsANjsrg50, https://t.co/ELARwKJKRo

Grab Your Masks, AGAIN 
Gov: Wear masks indoors if biz doesn’t require vax https://t.co/sfj6BIB9uY, https://t.co/tk6YZaqXsL https://t.co/CiOO0VzVGO",students slam sex harass girls walk east village middle school staff stop cruelty grab masks wear masks indoors biz require
347,"Sunmary of this 1:39min cut:

- Rei said she’s from space
- Gaeul thinks people (?) from space uses English too bc Rei spoke English
- Wonyoung asking Rei if they have covid in space too &amp; if she’s vaccinated
- Gaeul questioning Wonyoung’s logic bc there’s no air in space

😭😭😭 https://t.co/4QqNLUNapS",1 cut space people space english bc spoke english space amp vaccinated questioning logic bc air space
348,"U.K. faces an unparalleled Covid crisis. That danger is compounded by Boris Johnson, a rogue PM in free fall, and the crazy wing of the Tories, who prefer bogus ‘liberties’ to human life. The worst of governments at the worst of times",unparalleled crisis danger compounded johnson rogue pm free fall crazy wing tories prefer bogus liberties human life worst governments worst times
350,"@sfchronicle A paywall on a COVID article? Really? Responsible news orgs don’t do that.

Also, your paywalll freezes our phones and computers. Super tacky.",article responsible news freezes phones computers super tacky
352,@MarkDavidsonAfr @Clint_ZA @RHMcK1 @bellamoc @RomanCabanac @VP @KamalaHarris Where the scoreboard like we have of all covid cases and deaths?,scoreboard deaths
354,Only 1 Out Of 450 Int’l Travelers Tested Positive For Covid : ADC Srinagar https://t.co/19wEArX13I,1 travelers tested positive
358,"New Zealand's Jacinda Ardern on Her Change in Covid Strategy #theJournal 
https://t.co/UjOJqSZcBZ via @PodcastAddict",zealand change strategy
362,"Pfizer Recorded 1,223 Possible Vaccine Deaths During First 90 Days of COVID Vaccine Rollout https://t.co/sZ2BCSOPxo",recorded vaccine deaths 90 days vaccine
366,"A group of “risk-averse” and “super responsible people” let their guard down enough to become unwitting vectors of COVID-19, showing just how vulnerable even vaccinated people remain to the virus when indoors and in groups.

https://t.co/u6lIstyZhF",super responsible people guard unwitting vectors vulnerable vaccinated people remain virus indoors
367,"Omicron appears to be spreading faster in the UK than in South Africa, experts say | @BISouthAfrica 

https://t.co/uWwkRmbfGF https://t.co/OFT9Jd3sfz",omicron appears spreading faster uk south africa experts
368,"In California, Latinos ages 20 to 54 have died from COVID-19 at a rate more than eight times higher than white people of the same age, according to one USC study. Many died before vaccines were widely available, writes @r_valejandra https://t.co/A9JkvNe2zm",california latinos ages 20 54 died rate eight times white people age according study died vaccines widely available writes
370,@GBNEWS @MarkSteynOnline We’ve become addicted to ‘covid management’. All governments.,addicted management governments
371,A unusual #christmasgift my book The Covid Drawings available online and from all good #booksellerss please share @BeresfordPeter @AnneCooke14 @PeteFleischmann @MslizBentley @flexiblefilms @AlisonF101 @fleischster @COMMANDER_WORF @BenPlimp @AKousoulis @Rye_Books @PaulKindersley https://t.co/64g1JuwvRH,unusual book drawings available online please share
372,"Does anyone seriously believe the UK will hit a million COVID cases a day by Christmas, when the highest ever number previously was 81,000?",seriously believe uk hit million day christmas previously
373,"Repeat after me:

Covid is a disability rights issue.",repeat disability rights issue
377,Trouble for DeSantis As University of Florida Initiates Investigation into Claims from Researchers Who Were Pressured to Destroy Covid-19 Data https://t.co/iOMaohmAZw via @politicususa,trouble university florida initiates investigation claims researchers pressured destroy data
379,"@gdunbarap My partner is currently in an ICU fighting for his life due to complications from COVID.

Anyone who would willingly expose players, staff, families, friends and innocent strangers who may have had contact, to this, is a ****.",partner currently icu fighting life due complications willingly expose players staff families friends innocent strangers contact
380,"I want Johnson &amp; all Tories out because of Brexit, Covid mishandling, corruption, lies, &amp; trashing our country's economy &amp; reputation.
Why does it only take the by-blows of corruption &amp; selfishness, viz parties, to shake the foundations?
- I want PR, constitutionality, &amp; Rejoin.",johnson amp tories mishandling corruption lies amp trashing country economy amp reputation by-blows corruption amp selfishness parties shake foundations pr amp rejoin
381,S'pore reports 559 new Covid-19 infections and 6 deaths; ICU utilisation rate falls to 48.6% https://t.co/K1ptaVTj2i,reports infections 6 deaths icu utilisation rate falls
382,"Anti-vax doctor was fired for trying to treat Covid patients w/ ivermectin. Dr. John Witcher, an ER doc at a Mississippi hospital, took 3 patients off remdesivir, an antiviral &amp; put them on ivermectin, an anti-parasitic. He's known for promoting quackery https://t.co/ON5vNwOF1D",doctor fired trying treat patients john er doc mississippi hospital 3 patients antiviral amp promoting quackery
385,"🚑 The 35th Ranger Force Regiment deployed Army personnel to help car crash victims and facilitate traffic on Highway 105 (Mae Sot - Mae Sariang) by adhering strictly to COVID-19 preventive measures. 

#RTA #HelpPeople #COVID19 #volunteers #ACCIDENT https://t.co/h48W9lqAzF",35th ranger force regiment deployed army personnel help car crash victims facilitate traffic highway 105 sot adhering strictly preventive measures
386,UK #Covid news live: New Covid measures advised as 30% of #London cases now #Omicron  https://t.co/AOTbxcUqBN,uk news live measures advised 30
388,"CFL award last night
So many have died. So many have had their cancer surgeries cancelled.  So many kids have education online and suffer. Vacations cancelled. We're told to limit gatherings for Christmas.  But this is allowed https://t.co/twPtdWsNai",award night died cancer surgeries cancelled kids education online suffer vacations cancelled told limit gatherings christmas allowed
389,"""We have more patients than we've ever had at any point, and we're seeing more people die at a rate we've never seen die before,""
https://t.co/8JDbyG1USt",patients seeing people die rate seen die
391,"Doug Ford finally lifted his reckless expiration date for vaccine certificates. His need to declare ""mission accomplished"" at an arbitrary date emboldened anti-vaxxers and jeopardized Ontario's fight against COVID-19. #onpoli 

https://t.co/ZftbKbYrLx",ford finally lifted reckless expiration date vaccine certificates declare mission accomplished arbitrary date emboldened jeopardized ontario fight
393,"London Ontario;
A staff case of COVID-19 has delayed surgeries in four operating rooms at St. Joseph’s Health Care, the hospital said Friday evening.

That’s because exposure to the case has forced 25 staff and doctors to isolate.

 https://t.co/ms4uDlJBUx",london ontario staff delayed surgeries operating joseph health care hospital friday evening exposure forced 25 staff doctors isolate
394,"Talk vasthe Xroads closing 2cr gross avpl covid valla miss aina Pushpa tho kodtam 
#PushpaTheRiseOnDec17",talk closing gross miss tho
395,Jacob Rees Mogg seems to find the Covid restrictions all rather amusing but then he thinks the Grenfell victims lacked common sense and raped children should be denied an abortion. A callous and uncaring man imo.,jacob restrictions amusing victims lacked common sense raped children denied abortion callous uncaring imo
398,Today is graduation &amp; I'm still at home getting over Covid 🥺 Just my luck but Happy Graduation Day to VSU grads 👩🏾‍🎓🤩,graduation amp home getting luck happy graduation day grads
400,"As some students struggle, with other learners still home because of the pandemic, the COVID-19 has been a blessing for others. 

#NBSYourStory #NBSUpdates https://t.co/Bc4b3rjPq4",students struggle learners home pandemic blessing
401,"US capitalism: fails to cope with Covid, fails to prevent economic crash, and now hits working class with a 7% inflation more than canceling a 5% wage increase. How long till its victims and critics ally to do better than capitalism?",capitalism fails cope fails prevent economic crash hits class 7 inflation canceling 5 wage increase till victims critics ally capitalism
402,@BlackberryXRP No tv no COVID,tv
404,"Those closest to Boris Johnson laughed as they practiced how to lie to us about a Christmas party. We won’t stand by and watch. This is what we’re doing about it 👇
https://t.co/QxzWUV1fZA https://t.co/Vo5uCwGUWB",closest johnson laughed practiced lie christmas party stand watch doing
405,"The NHS Covid Pass is a modern-day digital version of the Gesundheitspass (health pass) of the Nazi regime. 
It has no place in England, Wales, Scotland or Northern Ireland. https://t.co/UtXXQVSxLM",nhs pass modern-day digital version health pass nazi regime england wales scotland northern ireland
406,"@heybabyzr0 If someone only read my last tweet. 
It has nothing to do with statistics etc anymore. The issue now is diplomatic relationships. Countries doesn't want to acknowledge each other's covid pass.",read tweet statistics anymore issue diplomatic relationships countries acknowledge pass
407,"“SAGE expert calls for five-year-olds to be jabbed to fight off the impending Omicron wave.”

Again, my children are not human shields for those that are Covid obsessives..
The JCVI said that they have no medium to long term data.
That ends it for me. https://t.co/JPxHSF8kO0",sage expert calls olds jabbed fight impending omicron wave children human shields obsessives medium term data
408,"This important new paper by Matthew Gandy takes a longer view of the COVID pandemic, by tracing the evolving relationship between urbanization and zoonotic diseases, most understandings of which remain Eurocentric and require nuanced conceptions of global environmental history. https://t.co/i6pjI47gbW",paper matthew takes view pandemic tracing evolving relationship urbanization zoonotic diseases understandings remain eurocentric require conceptions global environmental history
409,"@pulte I've been struggling so much this year. Lost my job at the beginning of the year, had to take a significant pay cut and now I have covid and am out of work with no pay. I desperately need help $ICLANanc please please Anything would help",struggling lost job beginning significant pay cut am pay desperately help please please help
410,"St. Joseph's cancels surgeries as 25 doctors, staff isolating because of COVID case https://t.co/iD7b0ypE2l",joseph cancels surgeries 25 doctors staff isolating
411,"@rkj_ramo @ajamubaraka Not true. Delta wasn't found in 🇺🇸 until May, &amp; deaths are ⏬ since late-summer Delta surge, which was far less deadly than last winter wave. Now mild case-inducing Omicron becoming most infectious variant. Pandemic is over; covid is endemic &amp; here to stay
https://t.co/5gghEIgeZ4",true delta found amp deaths delta surge deadly winter wave mild omicron becoming infectious variant pandemic endemic amp stay
412,🇧🇬 COVID in Europe: Bulgaria's jabbed rate is the lowest in the EU. Only 26.4% are fully jabbed. https://t.co/xwYjL3vlIy,europe bulgaria jabbed rate lowest eu jabbed
413,"@PrinceZAfrique @Andile45597224 @bongzmessi You are missing the science/the point. 
No vaccine prevents getting a virus, none.
What a vaccine does is stop the virus in its tracks. 
If I get Covid I will NOT die BECAUSE I AM vaccinated.
The people who ARE DYING are the UNvaccinated.
THINK!
Why can you not unsterstand that?",missing science vaccine prevents getting virus none vaccine stop virus tracks die am vaccinated people dying unvaccinated
414,Covid really exposed some really shocking opinions. We’re in a pandemic. Human beings are dying. You want to come to a country for the festive season. The country says vaccinate before you come so it can protect its citizens and prevent the spread. You don’t agree. Is it ment?,exposed shocking opinions pandemic human dying country festive season country vaccinate protect citizens prevent spread agree
415,"Michigan is such a shit show right now, after being vaccinated and boosted and religious with my mask, I have Covid. Fortunately I have zero symptoms. The vaccines work! Has anyone else had Covid with no or very few symptoms?",michigan shit vaccinated boosted religious mask fortunately zero symptoms vaccines symptoms
418,@TheTimeMAN_ @OgbeniDipo Yeah but Covid really distort a lot of things,yeah distort lot
419,"#Meghalaya: Almost 200 people wanted to testify about receiving partial payments or not receiving anything at all. 

#EastStory #NorthEastIndia https://t.co/rtsKg4y0yb",200 people testify receiving partial payments receiving
420,$AMC almost went bankrupt several times during the Covid-19 shutdowns. Large institutional funds established “aggressive” short positions with the expectation $AMC would declare bankruptcy. This has not and will not happen. Shorts have not covered. Play stands.,bankrupt times shutdowns institutional funds established aggressive short positions expectation declare bankruptcy happen shorts covered play stands
421,"🚨There were over 58,000 COVID cases in the UK yesterday 🚨

💙Please wear masks💙

Wearing masks helps to protect our communities from COVID-19…

👉https://t.co/JkiFynE4P1 https://t.co/OjjcVS5Ch1",uk yesterday please wear masks wearing masks helps protect communities
422,@velk @NifMuhammad i assume he’s being metaphorical but it did make me think of long covid as well,assume metaphorical
423,"@VyvyMets @tydosh @sfchronicle It’s an endemic, goofy. It’s not going away. Omicron is already proving to have milder symptoms than Delta. This is good news. Lay off the fear porn, get your booster and live your life. We’re all gonna get Covid at some point just like a cold.",endemic goofy omicron proving milder symptoms delta news lay fear porn booster live life cold
425,"“For your kids, your entire family, as well as for the community at large.”

Hear from Dr. Fauci and former President Obama about how COVID vaccines are the best protection against severe illness.

Find vaccines near you at https://t.co/jDq2UIHFmT. #WeCanDoThis https://t.co/fTadRXSA4l",kids entire family community hear former president vaccines protection severe illness vaccines near
427,KunstlerCast 352 — Another Lap with Dr. David E. Martin Investigating the Origins of the Covid-19 Vaccines | Kunstler https://t.co/SxMXKSIaSE,lap david martin investigating origins vaccines
428,People who are running around using their covid passes at every given moment are being played like a character in a video game. https://t.co/AztmgIuMwn,people running using passes moment played character video game
429,"@covie_93 Only because I he couldn’t figure out a way to NOT COUNT THE VOTES. I’m giving him ZERO for anything. He botched his role in Covid-19, he didn’t do anything to curb tfg. He gets no points. NONE.",figure count votes giving zero botched role curb none
430,"Covid-19 Bereaved Families for Justice statement on exclusive polling revealing third of UK public believe No 10 Christmas parties will lead to more deaths in a new wave. 

68% polled will blame @BorisJohnson or @Conservatives for any undermining of public health measures. 

1/4 https://t.co/jcB8pF06LB",bereaved families justice statement exclusive polling revealing third uk public believe 10 christmas parties lead deaths wave 68 polled blame undermining public health measures 1 4
431,"@mrleggaiy1 @george_12086639 @SylviaPatcas @6NewsAU Where did those covid deaths disappear to over the last 2 years? Was it on its gap year for the last two years? 😂 150k died from all manner of things, the only common denominator was a positive PCR test ran at a ludicrous 45 cycles, they only had to die within 28 days of it.",deaths disappear 2 gap died manner common denominator positive test ran ludicrous 45 cycles die 28 days
432,"150 train services cancelled in Central Belt as more ScotRail staff self-isolate

https://t.co/WsX1S0V4tG",150 train services cancelled central belt staff
433,@SenMastriano Woohoo Covid! Fuck yeah!! https://t.co/IF7oo2XEbM,fuck yeah
434,"SO stoked for this today! I've really missed going to concerts due to Covid, so to be able to see @TriviumOfficial and @fitforanautopsy is going to be amazing!!! https://t.co/qoXyHbmBGf",stoked missed concerts due able amazing
436,@DMRegister Covid Covid Covid Covid articles with a few transgender stories-that’s all the Ragister has…,articles transgender
437,"Curmudgeons Corner:

Mother Nature at work in Western, KY.

It's not Covid this time!
https://t.co/nXjTdm432v",curmudgeons corner mother nature western ky time
440,@BeddoeE You would think as that sounds logical but really need to get under all this? 🤔 eg So higher rates of transmission in more affluent areas here as more mobile Those who have no money etc stay at home less transmission Covid can turn assumptions on its head 🇳🇿🔒 interesting 🧐,sounds logical rates transmission affluent mobile money stay home transmission assumptions head
442,"Are you doing some holiday shopping today?! Donate at Shawnee Mall, Quail Springs Mall and the OKC Outlets today for a chance to win a new SMART TV. You'll also get a free COVID-19 antibody test and a new shirt! Come see us! #okc #oklahomacity #shawneeok https://t.co/i6vlroj5At",doing holiday shopping donate shawnee mall quail springs mall outlets chance win smart tv free antibody test shirt
443,"Psaki defends Biden's Covid Restrictions... as kids freeze to eat lunch

Parents like having their little ones shiver outside in freezing temperatures to uphold Covid standards, according to WH spox Jen Psaki... ""It's no big deal,"" for her 3-year-old. https://t.co/uqw3zMwIGp",defends bide restrictions kids freeze eat lunch parents little ones shiver outside freezing temperatures uphold standards according deal
444,"Second year in a row, #NHS staff are giving up their work Christmas celebrations to reduce chances of being off work isolating with ever increasing (now) Omicron #COVID variant, so we can be there for the public when desperately needed.

@BorisJohnson DO BETTER 🤨

@NHSMillion",row staff giving christmas celebrations reduce chances isolating increasing omicron variant public desperately
445,"Next best I tipped WBA CB’s but there’s only one senior one in the squad 😂

Cash this out

I’d advise having 1pt on Bartley anytime &amp; 0.5pts on a Bartley goal &amp; card. Late covid outbreak I think https://t.co/7tcIGkF8Tl https://t.co/Vf7RGvSF3r",tipped senior squad cash advise amp pts goal amp card late outbreak
447,Hotel party featuring Take That tribute band linked to Covid-19 outbreak https://t.co/A6buk1RIr6,hotel party featuring tribute band linked outbreak
450,"What the hell is this special exam?
Why they are playing with us like a ludo game ?
Mdcat is not like a exams of junior classes our entire future depend upon this test.
Tgey can arrange separate halls for covid + students
#DelayMDCAT2020
#ShameonPmc 
#no2tests
#saynotospecialexam https://t.co/tIPzXFnWND",hell special exam playing ludo game exams junior classes entire future depend test arrange separate halls students
451,"If you spit in someone’s face during a pandemic, you should be charged with attempted murder. I’m so fucking sick of violent asshole Covid deniers.",spit pandemic charged attempted murder fucking sick violent asshole deniers
452,"In Germany the new Health Secretary is a medical doctor who's an absolute expert on Covid. In the UK, the Health Secretary is an ex-banker. I think that says more about the UK than Germany.",germany health secretary medical doctor absolute expert uk health secretary uk germany
454,Achieving Success During COVID-19 There's no use in denying the fact that most of the world is currently under some https://t.co/dCDQ24QJ49,achieving success denying world currently
456,Prayers for those brave nurses  who are speaking the truth! About Covid Vaccine side effects ! 🙏🙏,prayers brave nurses speaking truth vaccine effects
457,"@KarlMar05384385 @HerdImmunity12 @mr_ed_peters @afneil @BorisJohnson @NickFerrariLBC I blew it up to support the pro vax but still in perspective at 5M it's a fkn blatant power grab. 

In Feb I know of car accidents and motorbike crashes where families had been ask if they could write up as covid. 

Never thought we would be here.",blew support pro perspective blatant power grab feb car accidents motorbike crashes families write
459,"@Stacie_loves @sfchronicle Liberals in April: ""Get vaxxed, and we will end covid.  You can't catch covid if you're vaxxed."" 

Liberals in December: ""Yeah they were vaxxed and helped spread the newest variant around, but at least they didn't get that sick""",liberals april ca catch liberals december yeah helped spread variant sick
460,"Just because you go to a hospital for a broken toe and you test positive for the weakest Covid variant ever, it should not count as a Covid 'hospitalization.' We're onto your grift, con artists!",hospital broken toe test positive weakest variant count con artists
462,"Upcoming first and second dose COVID-19 vaccine pop-up clinics at Lynden Park Mall, 84 Lynden Rd., Brantford. No appointment necessary. Clinics are for those born in 2009 or earlier. Please bring your health card or government issued-photo ID. https://t.co/Kpl9gKqGJh https://t.co/s8V3kqY16g",upcoming dose vaccine pop-up clinics park mall 84 appointment clinics born earlier please bring health card government id
463,"Sophomore Highlights (Four Full Games)
6”3 225lbs
Outside linebacker 
*13 sacks
*10 TFL
*31 Tackles
*2 FF
*2 TD’s
*1 PBU
Didn’t play many games due to COVID but look at the stats 🥶@CoachMcCannERT

https://t.co/2iKcVHQd6k",sophomore highlights games 6 3 outside linebacker 13 sacks 10 31 tackles 2 2 1 play games due look
