text,Topic,Sentiment,tweets
@noonienoodie @cdnrefusenik The ones down under are fancier but we do have our own in Canuckistan too. We call them Covid Hotels and they are brimming with wholesome sexual assaults,l,3,ones fancier own call hotels brimming wholesome sexual assaults
@2FloridaMermaid @jordanbpeterson Do you think covid has GPS?,o,2,gps
"618 additional confirmed cases of the #Omicron variant of COVID-19 have been reported across England. 
The total number of confirmed COVID-19 Omicron cases in England is 1,757.",h,2,additional confirmed variant reported england total confirmed omicron england
@dawnymock @johnsgunn A friend in Kingston has a permanent limp from polio from years ago. He had no issues in getting vaccinated for covid when it was his turn.,v,2,friend kingston permanent limp polio ago issues getting vaccinated
These new covid tests are getting silly now https://t.co/vmTqx6paDL,c,3,tests getting silly
South African doctors suggest omicron Covid is milder and more contagious than delta https://t.co/cjWHQZ4ymv,c,1,south african doctors suggest omicron milder contagious delta
"The actual state of @HeathrowAirport passport control. Family section right now... One person processing for the entire line. Its an embaressment. People bunching up, great for Covid protocols. Poorly managed, terrible impression for anyone visiting the UK",p,3,actual passport control family section person processing entire line people bunching protocols poorly managed terrible impression visiting uk
Taiwan confirms researcher infected with COVID in lab | Taiwan News | 2021-12-11 18:00:00 https://t.co/z5LYIm2LZ3,h,2,taiwan confirms researcher infected lab taiwan news 18
"#SilambarasanTR is admitted to a Chennai hospitali, due to a viral infection. It's not Covid related! 

Wishing #STR a safe and speedy recovery! 

@SilambarasanTR_",o,2,admitted chennai due viral infection related wishing safe speedy recovery
"With Christmas around the corner, we can’t afford to be complacent in our fight against COVID-19.
 
Remember to wear your face covering indoors, take regular lateral flow tests, and get fully vaccinated so you can spread Christmas cheer—and not COVID—this winter.",l,1,christmas corner ca afford complacent fight remember wear covering indoors regular lateral flow tests vaccinated spread christmas cheer winter
"Every covid vaccine location should be outdoors. People are getting covid waiting in line for the vaccine in poorly ventilated buildings stuffed full of people, a level of irony that becomes obscene tragedy. That humans can't figure this shit out is absolutely pathetic.",v,3,vaccine location outdoors people getting waiting line vaccine poorly ventilated buildings stuffed people level irony obscene tragedy humans ca figure shit absolutely pathetic
"Covid-19: Do vaccines work against omicron—and other questions answered. @emahase_ rounds up what we know so far about omicron

@bmj_latest 

https://t.co/zyBOlzfBlv",v,2,vaccines omicron questions answered rounds omicron
@AdamParkhomenko Covid doesn’t care who you are. Get vaccinated,v,1,care vaccinated
"@davidkurten I had covid, in the year 2020 BV (Before vaccines). According to mainstream media, I am dead.",v,3,vaccines according mainstream media am dead
I tested positive for Covid 19 so I’m staying home and playing bayonetta 2 for the next couple days,h,1,tested positive 19 staying home playing 2 couple days
"Where do we go for an apology? We’ve literally known since July with Delta that the vaccinated were still getting and spreading COVID, but the Covidians kept blindly lying. https://t.co/WE5FxiULc3",v,3,apology literally july delta vaccinated getting spreading kept blindly lying
"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab",v,2,dearly wish live 1000s patients hospital means cancelled cancer ops staff diverted diagnostics care ambulance delays overwhelmed amp es booster help protect patients
"My kids have been off school for 3 weeks due to covid, my wife hasn’t been able to go to work at hospital, because of her Covid. I’m probably going to catch Covid from a house full of covid. So pleased they decided not to mitigate in schools. Really helped get life back to normal",l,3,kids school 3 weeks due wife able hospital probably catch house pleased decided mitigate schools helped life normal
"At what point do we seriously discuss making rapid home self-test kits (to learn if you're infected with COVID and if so to take precautions, not attend gathernigs, etc.) and n95 masks (to wear in all indoor situations, etc.) to every household in Massachusetts?
#EqualAccess",h,1,seriously discuss rapid home kits learn infected precautions attend masks wear indoor situations household massachusetts
"In October, the reddest tenth of the country saw death rates that were six times higher than the bluest tenth, according to Charles Gaba, an independent health care analyst https://t.co/5Dx1nrr8X8",h,2,october reddest tenth country death rates six times bluest tenth according charles gaba independent health care analyst
"@ilfcombeafc v @BrislingtonFC team news.
Subs.
12. S Lewis.
14. N Graydon.
15. R Lynskey.
Not at the game. Covid booster has done me. Hoping @neilgraydon83 will keep me updated https://t.co/WSdvRMelSX",v,2,team news subs 12 lewis 14 15 game booster hoping updated
"Yes, actually @GovChrisSununu we do care...about over-burdened ICU's, COVID-safety, masks &amp; vaccines, Roe v.Wade, reproductive freedom, DE&amp;I, public schools, property taxes, fair maps, voting rights, utility bills, the housing crisis, mental health &amp;...but you do you. #NHPolitics https://t.co/3PlS9VENKT",l,1,yes actually care icu masks amp vaccines roe wade reproductive freedom de amp public schools property taxes fair maps voting rights utility bills housing crisis mental health amp
CNN refuses to put a Covid death count tracker on air because the number is higher under Joe Biden than Donald Trump.,p,2,refuses death count tracker air trump
"@Sflecce @C_Mulroney @YRDSB Ontario is reporting 1,607 new cases of covid today. For comparison last Saturday 1,053 cases were reported. 1,848 cases were reported on December 11,2020. Sadly 5 more deaths were reported.",h,2,ontario reporting comparison saturday reported reported december sadly 5 deaths reported
@itvnews no one would be surprised there Scotland and Wales have went same way with covid from day 1. When will Eng change not long or Christmas,h,2,surprised scotland wales day 1 change christmas
"#VAERS data for the week through 12-03-2021. 
https://t.co/qbg1Z54mo8

to quote Rochelle Walensky, MD, MPH

""To date, no serious safety concerns have been identified."" https://t.co/hJ9Oe3l9G8",o,1,data week quote md mph date serious safety concerns identified
@fact_covid I am so sick of all of our media. It all needs to be boycotted by the public in general.,o,3,am sick media boycotted public
"The government needs to fund and implement a multi-layered, scientifically recognised covid mitigation strategy for schools, to protect vulnerable children | Sarah Saul

@HoppySaul @BylineTimes 
https://t.co/c9ToCXi1vL",p,2,government fund implement scientifically recognised mitigation strategy schools protect vulnerable children sarah saul
"Dunno if anyone needs to know this but it seems the NHS site has been updated to allow booster booking for 30+ yrs  - just discovered I can book mine now
https://t.co/LHFF8Gw1bH",v,2,nhs site updated allow booster booking 30 yrs discovered book mine
"Remember when Boris confirmed the Covid tests only worked in 7% of cases. 93% are false, yet they now claim 10’s of thousands of tests are accurate. The contradictions are endless. https://t.co/uJQORK28Vy",c,3,remember confirmed tests 7 93 false claim 10 thousands tests accurate contradictions endless
"STUDENTS SLAM Sex Harass
Girls walk out of East Village middle school — say staff doesn’t stop the cruelty https://t.co/XsANjsrg50, https://t.co/ELARwKJKRo

Grab Your Masks, AGAIN 
Gov: Wear masks indoors if biz doesn’t require vax https://t.co/sfj6BIB9uY, https://t.co/tk6YZaqXsL https://t.co/CiOO0VzVGO",o,2,students slam sex harass girls walk east village middle school staff stop cruelty grab masks wear masks indoors biz require
"Sunmary of this 1:39min cut:

- Rei said she’s from space
- Gaeul thinks people (?) from space uses English too bc Rei spoke English
- Wonyoung asking Rei if they have covid in space too &amp; if she’s vaccinated
- Gaeul questioning Wonyoung’s logic bc there’s no air in space

😭😭😭 https://t.co/4QqNLUNapS",o,2,1 cut space people space english bc spoke english space amp vaccinated questioning logic bc air space
"U.K. faces an unparalleled Covid crisis. That danger is compounded by Boris Johnson, a rogue PM in free fall, and the crazy wing of the Tories, who prefer bogus ‘liberties’ to human life. The worst of governments at the worst of times",p,3,unparalleled crisis danger compounded johnson rogue pm free fall crazy wing tories prefer bogus liberties human life worst governments worst times
"@sfchronicle A paywall on a COVID article? Really? Responsible news orgs don’t do that.

Also, your paywalll freezes our phones and computers. Super tacky.",l,3,article responsible news freezes phones computers super tacky
@MarkDavidsonAfr @Clint_ZA @RHMcK1 @bellamoc @RomanCabanac @VP @KamalaHarris Where the scoreboard like we have of all covid cases and deaths?,h,2,scoreboard deaths
Only 1 Out Of 450 Int’l Travelers Tested Positive For Covid : ADC Srinagar https://t.co/19wEArX13I,l,1,1 travelers tested positive
"New Zealand's Jacinda Ardern on Her Change in Covid Strategy #theJournal 
https://t.co/UjOJqSZcBZ via @PodcastAddict",l,2,zealand change strategy
"Pfizer Recorded 1,223 Possible Vaccine Deaths During First 90 Days of COVID Vaccine Rollout https://t.co/sZ2BCSOPxo",v,1,recorded vaccine deaths 90 days vaccine
"A group of “risk-averse” and “super responsible people” let their guard down enough to become unwitting vectors of COVID-19, showing just how vulnerable even vaccinated people remain to the virus when indoors and in groups.

https://t.co/u6lIstyZhF",c,3,super responsible people guard unwitting vectors vulnerable vaccinated people remain virus indoors
"Omicron appears to be spreading faster in the UK than in South Africa, experts say | @BISouthAfrica 

https://t.co/uWwkRmbfGF https://t.co/OFT9Jd3sfz",c,2,omicron appears spreading faster uk south africa experts
"In California, Latinos ages 20 to 54 have died from COVID-19 at a rate more than eight times higher than white people of the same age, according to one USC study. Many died before vaccines were widely available, writes @r_valejandra https://t.co/A9JkvNe2zm",c,2,california latinos ages 20 54 died rate eight times white people age according study died vaccines widely available writes
@GBNEWS @MarkSteynOnline We’ve become addicted to ‘covid management’. All governments.,p,3,addicted management governments
A unusual #christmasgift my book The Covid Drawings available online and from all good #booksellerss please share @BeresfordPeter @AnneCooke14 @PeteFleischmann @MslizBentley @flexiblefilms @AlisonF101 @fleischster @COMMANDER_WORF @BenPlimp @AKousoulis @Rye_Books @PaulKindersley https://t.co/64g1JuwvRH,o,1,unusual book drawings available online please share
"Does anyone seriously believe the UK will hit a million COVID cases a day by Christmas, when the highest ever number previously was 81,000?",c,3,seriously believe uk hit million day christmas previously
"Repeat after me:

Covid is a disability rights issue.",c,2,repeat disability rights issue
Trouble for DeSantis As University of Florida Initiates Investigation into Claims from Researchers Who Were Pressured to Destroy Covid-19 Data https://t.co/iOMaohmAZw via @politicususa,s,3,trouble university florida initiates investigation claims researchers pressured destroy data
"@gdunbarap My partner is currently in an ICU fighting for his life due to complications from COVID.

Anyone who would willingly expose players, staff, families, friends and innocent strangers who may have had contact, to this, is a ****.",h,3,partner currently icu fighting life due complications willingly expose players staff families friends innocent strangers contact
"I want Johnson &amp; all Tories out because of Brexit, Covid mishandling, corruption, lies, &amp; trashing our country's economy &amp; reputation.
Why does it only take the by-blows of corruption &amp; selfishness, viz parties, to shake the foundations?
- I want PR, constitutionality, &amp; Rejoin.",c,3,johnson amp tories mishandling corruption lies amp trashing country economy amp reputation by-blows corruption amp selfishness parties shake foundations pr amp rejoin
S'pore reports 559 new Covid-19 infections and 6 deaths; ICU utilisation rate falls to 48.6% https://t.co/K1ptaVTj2i,c,2,reports infections 6 deaths icu utilisation rate falls
"Anti-vax doctor was fired for trying to treat Covid patients w/ ivermectin. Dr. John Witcher, an ER doc at a Mississippi hospital, took 3 patients off remdesivir, an antiviral &amp; put them on ivermectin, an anti-parasitic. He's known for promoting quackery https://t.co/ON5vNwOF1D",v,3,doctor fired trying treat patients john er doc mississippi hospital 3 patients antiviral amp promoting quackery
"🚑 The 35th Ranger Force Regiment deployed Army personnel to help car crash victims and facilitate traffic on Highway 105 (Mae Sot - Mae Sariang) by adhering strictly to COVID-19 preventive measures. 

#RTA #HelpPeople #COVID19 #volunteers #ACCIDENT https://t.co/h48W9lqAzF",p,2,35th ranger force regiment deployed army personnel help car crash victims facilitate traffic highway 105 sot adhering strictly preventive measures
UK #Covid news live: New Covid measures advised as 30% of #London cases now #Omicron  https://t.co/AOTbxcUqBN,c,2,uk news live measures advised 30
"CFL award last night
So many have died. So many have had their cancer surgeries cancelled.  So many kids have education online and suffer. Vacations cancelled. We're told to limit gatherings for Christmas.  But this is allowed https://t.co/twPtdWsNai",h,3,award night died cancer surgeries cancelled kids education online suffer vacations cancelled told limit gatherings christmas allowed
"""We have more patients than we've ever had at any point, and we're seeing more people die at a rate we've never seen die before,""
https://t.co/8JDbyG1USt",h,3,patients seeing people die rate seen die
"Doug Ford finally lifted his reckless expiration date for vaccine certificates. His need to declare ""mission accomplished"" at an arbitrary date emboldened anti-vaxxers and jeopardized Ontario's fight against COVID-19. #onpoli 

https://t.co/ZftbKbYrLx",c,2,ford finally lifted reckless expiration date vaccine certificates declare mission accomplished arbitrary date emboldened jeopardized ontario fight
"London Ontario;
A staff case of COVID-19 has delayed surgeries in four operating rooms at St. Joseph’s Health Care, the hospital said Friday evening.

That’s because exposure to the case has forced 25 staff and doctors to isolate.

 https://t.co/ms4uDlJBUx",c,2,london ontario staff delayed surgeries operating joseph health care hospital friday evening exposure forced 25 staff doctors isolate
Jacob Rees Mogg seems to find the Covid restrictions all rather amusing but then he thinks the Grenfell victims lacked common sense and raped children should be denied an abortion. A callous and uncaring man imo.,o,3,jacob restrictions amusing victims lacked common sense raped children denied abortion callous uncaring imo
Today is graduation &amp; I'm still at home getting over Covid 🥺 Just my luck but Happy Graduation Day to VSU grads 👩🏾‍🎓🤩,s,1,graduation amp home getting luck happy graduation day grads
"As some students struggle, with other learners still home because of the pandemic, the COVID-19 has been a blessing for others. 

#NBSYourStory #NBSUpdates https://t.co/Bc4b3rjPq4",s,2,students struggle learners home pandemic blessing
"US capitalism: fails to cope with Covid, fails to prevent economic crash, and now hits working class with a 7% inflation more than canceling a 5% wage increase. How long till its victims and critics ally to do better than capitalism?",o,3,capitalism fails cope fails prevent economic crash hits class 7 inflation canceling 5 wage increase till victims critics ally capitalism
@BlackberryXRP No tv no COVID,,,tv
"Those closest to Boris Johnson laughed as they practiced how to lie to us about a Christmas party. We won’t stand by and watch. This is what we’re doing about it 👇
https://t.co/QxzWUV1fZA https://t.co/Vo5uCwGUWB",g,2,closest johnson laughed practiced lie christmas party stand watch doing
"The NHS Covid Pass is a modern-day digital version of the Gesundheitspass (health pass) of the Nazi regime. 
It has no place in England, Wales, Scotland or Northern Ireland. https://t.co/UtXXQVSxLM",,,nhs pass modern-day digital version health pass nazi regime england wales scotland northern ireland
"@heybabyzr0 If someone only read my last tweet. 
It has nothing to do with statistics etc anymore. The issue now is diplomatic relationships. Countries doesn't want to acknowledge each other's covid pass.",v,3,read tweet statistics anymore issue diplomatic relationships countries acknowledge pass
"“SAGE expert calls for five-year-olds to be jabbed to fight off the impending Omicron wave.”

Again, my children are not human shields for those that are Covid obsessives..
The JCVI said that they have no medium to long term data.
That ends it for me. https://t.co/JPxHSF8kO0",v,3,sage expert calls olds jabbed fight impending omicron wave children human shields obsessives medium term data
"This important new paper by Matthew Gandy takes a longer view of the COVID pandemic, by tracing the evolving relationship between urbanization and zoonotic diseases, most understandings of which remain Eurocentric and require nuanced conceptions of global environmental history. https://t.co/i6pjI47gbW",p,2,paper matthew takes view pandemic tracing evolving relationship urbanization zoonotic diseases understandings remain eurocentric require conceptions global environmental history
"@pulte I've been struggling so much this year. Lost my job at the beginning of the year, had to take a significant pay cut and now I have covid and am out of work with no pay. I desperately need help $ICLANanc please please Anything would help",h,3,struggling lost job beginning significant pay cut am pay desperately help please please help
"St. Joseph's cancels surgeries as 25 doctors, staff isolating because of COVID case https://t.co/iD7b0ypE2l",n,3,joseph cancels surgeries 25 doctors staff isolating
"@rkj_ramo @ajamubaraka Not true. Delta wasn't found in 🇺🇸 until May, &amp; deaths are ⏬ since late-summer Delta surge, which was far less deadly than last winter wave. Now mild case-inducing Omicron becoming most infectious variant. Pandemic is over; covid is endemic &amp; here to stay
https://t.co/5gghEIgeZ4",c,2,true delta found amp deaths delta surge deadly winter wave mild omicron becoming infectious variant pandemic endemic amp stay
🇧🇬 COVID in Europe: Bulgaria's jabbed rate is the lowest in the EU. Only 26.4% are fully jabbed. https://t.co/xwYjL3vlIy,v,3,europe bulgaria jabbed rate lowest eu jabbed
"@PrinceZAfrique @Andile45597224 @bongzmessi You are missing the science/the point. 
No vaccine prevents getting a virus, none.
What a vaccine does is stop the virus in its tracks. 
If I get Covid I will NOT die BECAUSE I AM vaccinated.
The people who ARE DYING are the UNvaccinated.
THINK!
Why can you not unsterstand that?",v,1,missing science vaccine prevents getting virus none vaccine stop virus tracks die am vaccinated people dying unvaccinated
Covid really exposed some really shocking opinions. We’re in a pandemic. Human beings are dying. You want to come to a country for the festive season. The country says vaccinate before you come so it can protect its citizens and prevent the spread. You don’t agree. Is it ment?,v,1,exposed shocking opinions pandemic human dying country festive season country vaccinate protect citizens prevent spread agree
"Michigan is such a shit show right now, after being vaccinated and boosted and religious with my mask, I have Covid. Fortunately I have zero symptoms. The vaccines work! Has anyone else had Covid with no or very few symptoms?",c,3,michigan shit vaccinated boosted religious mask fortunately zero symptoms vaccines symptoms
@TheTimeMAN_ @OgbeniDipo Yeah but Covid really distort a lot of things,c,3,yeah distort lot
"#Meghalaya: Almost 200 people wanted to testify about receiving partial payments or not receiving anything at all. 

#EastStory #NorthEastIndia https://t.co/rtsKg4y0yb",s,3,200 people testify receiving partial payments receiving
$AMC almost went bankrupt several times during the Covid-19 shutdowns. Large institutional funds established “aggressive” short positions with the expectation $AMC would declare bankruptcy. This has not and will not happen. Shorts have not covered. Play stands.,l,2,bankrupt times shutdowns institutional funds established aggressive short positions expectation declare bankruptcy happen shorts covered play stands
"🚨There were over 58,000 COVID cases in the UK yesterday 🚨

💙Please wear masks💙

Wearing masks helps to protect our communities from COVID-19…

👉https://t.co/JkiFynE4P1 https://t.co/OjjcVS5Ch1",h,2,uk yesterday please wear masks wearing masks helps protect communities
@velk @NifMuhammad i assume he’s being metaphorical but it did make me think of long covid as well,o,2,assume metaphorical
"@VyvyMets @tydosh @sfchronicle It’s an endemic, goofy. It’s not going away. Omicron is already proving to have milder symptoms than Delta. This is good news. Lay off the fear porn, get your booster and live your life. We’re all gonna get Covid at some point just like a cold.",c,1,endemic goofy omicron proving milder symptoms delta news lay fear porn booster live life cold
"“For your kids, your entire family, as well as for the community at large.”

Hear from Dr. Fauci and former President Obama about how COVID vaccines are the best protection against severe illness.

Find vaccines near you at https://t.co/jDq2UIHFmT. #WeCanDoThis https://t.co/fTadRXSA4l",v,1,kids entire family community hear former president vaccines protection severe illness vaccines near
KunstlerCast 352 — Another Lap with Dr. David E. Martin Investigating the Origins of the Covid-19 Vaccines | Kunstler https://t.co/SxMXKSIaSE,v,2,lap david martin investigating origins vaccines
People who are running around using their covid passes at every given moment are being played like a character in a video game. https://t.co/AztmgIuMwn,v,2,people running using passes moment played character video game
"@covie_93 Only because I he couldn’t figure out a way to NOT COUNT THE VOTES. I’m giving him ZERO for anything. He botched his role in Covid-19, he didn’t do anything to curb tfg. He gets no points. NONE.",o,3,figure count votes giving zero botched role curb none
"Covid-19 Bereaved Families for Justice statement on exclusive polling revealing third of UK public believe No 10 Christmas parties will lead to more deaths in a new wave. 

68% polled will blame @BorisJohnson or @Conservatives for any undermining of public health measures. 

1/4 https://t.co/jcB8pF06LB",t,2,bereaved families justice statement exclusive polling revealing third uk public believe 10 christmas parties lead deaths wave 68 polled blame undermining public health measures 1 4
"@mrleggaiy1 @george_12086639 @SylviaPatcas @6NewsAU Where did those covid deaths disappear to over the last 2 years? Was it on its gap year for the last two years? 😂 150k died from all manner of things, the only common denominator was a positive PCR test ran at a ludicrous 45 cycles, they only had to die within 28 days of it.",h,3,deaths disappear 2 gap died manner common denominator positive test ran ludicrous 45 cycles die 28 days
"150 train services cancelled in Central Belt as more ScotRail staff self-isolate

https://t.co/WsX1S0V4tG",p,,150 train services cancelled central belt staff
@SenMastriano Woohoo Covid! Fuck yeah!! https://t.co/IF7oo2XEbM,c,1,fuck yeah
"SO stoked for this today! I've really missed going to concerts due to Covid, so to be able to see @TriviumOfficial and @fitforanautopsy is going to be amazing!!! https://t.co/qoXyHbmBGf",l,2,stoked missed concerts due able amazing
"Curmudgeons Corner:

Mother Nature at work in Western, KY.

It's not Covid this time!
https://t.co/nXjTdm432v",o,2,curmudgeons corner mother nature western ky time
@BeddoeE You would think as that sounds logical but really need to get under all this? 🤔 eg So higher rates of transmission in more affluent areas here as more mobile Those who have no money etc stay at home less transmission Covid can turn assumptions on its head 🇳🇿🔒 interesting 🧐,c,2,sounds logical rates transmission affluent mobile money stay home transmission assumptions head
"Are you doing some holiday shopping today?! Donate at Shawnee Mall, Quail Springs Mall and the OKC Outlets today for a chance to win a new SMART TV. You'll also get a free COVID-19 antibody test and a new shirt! Come see us! #okc #oklahomacity #shawneeok https://t.co/i6vlroj5At",o,2,doing holiday shopping donate shawnee mall quail springs mall outlets chance win smart tv free antibody test shirt
"Psaki defends Biden's Covid Restrictions... as kids freeze to eat lunch

Parents like having their little ones shiver outside in freezing temperatures to uphold Covid standards, according to WH spox Jen Psaki... ""It's no big deal,"" for her 3-year-old. https://t.co/uqw3zMwIGp",l,3,defends bide restrictions kids freeze eat lunch parents little ones shiver outside freezing temperatures uphold standards according deal
"Second year in a row, #NHS staff are giving up their work Christmas celebrations to reduce chances of being off work isolating with ever increasing (now) Omicron #COVID variant, so we can be there for the public when desperately needed.

@BorisJohnson DO BETTER 🤨

@NHSMillion",l,2,row staff giving christmas celebrations reduce chances isolating increasing omicron variant public desperately
"Next best I tipped WBA CB’s but there’s only one senior one in the squad 😂

Cash this out

I’d advise having 1pt on Bartley anytime &amp; 0.5pts on a Bartley goal &amp; card. Late covid outbreak I think https://t.co/7tcIGkF8Tl https://t.co/Vf7RGvSF3r",o,2,tipped senior squad cash advise amp pts goal amp card late outbreak
Hotel party featuring Take That tribute band linked to Covid-19 outbreak https://t.co/A6buk1RIr6,l,2,hotel party featuring tribute band linked outbreak
"What the hell is this special exam?
Why they are playing with us like a ludo game ?
Mdcat is not like a exams of junior classes our entire future depend upon this test.
Tgey can arrange separate halls for covid + students
#DelayMDCAT2020
#ShameonPmc 
#no2tests
#saynotospecialexam https://t.co/tIPzXFnWND",l,3,hell special exam playing ludo game exams junior classes entire future depend test arrange separate halls students
"If you spit in someone’s face during a pandemic, you should be charged with attempted murder. I’m so fucking sick of violent asshole Covid deniers.",l,3,spit pandemic charged attempted murder fucking sick violent asshole deniers
"In Germany the new Health Secretary is a medical doctor who's an absolute expert on Covid. In the UK, the Health Secretary is an ex-banker. I think that says more about the UK than Germany.",l,2,germany health secretary medical doctor absolute expert uk health secretary uk germany
Achieving Success During COVID-19 There's no use in denying the fact that most of the world is currently under some https://t.co/dCDQ24QJ49,l,1,achieving success denying world currently
Prayers for those brave nurses  who are speaking the truth! About Covid Vaccine side effects ! 🙏🙏,v,1,prayers brave nurses speaking truth vaccine effects
"@KarlMar05384385 @HerdImmunity12 @mr_ed_peters @afneil @BorisJohnson @NickFerrariLBC I blew it up to support the pro vax but still in perspective at 5M it's a fkn blatant power grab. 

In Feb I know of car accidents and motorbike crashes where families had been ask if they could write up as covid. 

Never thought we would be here.",o,2,blew support pro perspective blatant power grab feb car accidents motorbike crashes families write
"@Stacie_loves @sfchronicle Liberals in April: ""Get vaxxed, and we will end covid.  You can't catch covid if you're vaxxed."" 

Liberals in December: ""Yeah they were vaxxed and helped spread the newest variant around, but at least they didn't get that sick""",v,1,liberals april ca catch liberals december yeah helped spread variant sick
"Just because you go to a hospital for a broken toe and you test positive for the weakest Covid variant ever, it should not count as a Covid 'hospitalization.' We're onto your grift, con artists!",l,3,hospital broken toe test positive weakest variant count con artists
"Upcoming first and second dose COVID-19 vaccine pop-up clinics at Lynden Park Mall, 84 Lynden Rd., Brantford. No appointment necessary. Clinics are for those born in 2009 or earlier. Please bring your health card or government issued-photo ID. https://t.co/Kpl9gKqGJh https://t.co/s8V3kqY16g",p,2,upcoming dose vaccine pop-up clinics park mall 84 appointment clinics born earlier please bring health card government id
"Sophomore Highlights (Four Full Games)
6”3 225lbs
Outside linebacker 
*13 sacks
*10 TFL
*31 Tackles
*2 FF
*2 TD’s
*1 PBU
Didn’t play many games due to COVID but look at the stats 🥶@CoachMcCannERT

https://t.co/2iKcVHQd6k",o,2,sophomore highlights games 6 3 outside linebacker 13 sacks 10 31 tackles 2 2 1 play games due look
@DrReality5 Do you think at some point early next year when Paxlovid is approved (not to judge it’s efficacy) and the “coastal surges” wane that someone like Anthony Fauci will declare covid is little different than the flu and use that to try to save the Democrats,o,2,approved judge efficacy coastal surges wane anthony declare little flu try save democrats
Former NFL wide receiver Joshua Bellamy sentenced to 3 years for Covid relief fraud https://t.co/1kqBG9sKxd,o,2,former wide receiver joshua sentenced 3 relief fraud
@redsteeze All they're gonna do is blame covid &amp; Jan 6th for their shit policies.,l,3,blame amp jan 6th shit policies
"BREAKING - Whilst you were distracted by a Christmas Party the UK Gov. released a report confirming the Fully Vaccinated account for 4 in every 5 C-19 Deaths in England since August…
https://t.co/v4Jj52gkyt",p,2,breaking distracted christmas party uk released report confirming vaccinated account 4 5 deaths england august
"Big fascist tough guy poster boy fish stick Nazi Tucker Carlson says COVID-19 “feminizes people.” So since he hasn’t had it, what’s his excuse? https://t.co/xFPQ0aFaYP",o,2,fascist tough guy poster boy fish stick nazi tucker feminizes people excuse
SCALP: COVID Investigator Funded By Chinese Communist Party Removed From WHO Team Following National Pulse Exposé. https://t.co/Co2UDV6P3F,p,2,scalp investigator funded chinese communist party removed team following national pulse
"It's a crime that we're not told vaccination status of the hospitalized patients. We should get data on  ages, vaccination status, which vaccines, when vaccinated and if they got  boosters. PH is failing us by not providing vital information. https://t.co/BzTOheKv1v",v,2,crime told vaccination status hospitalized patients data ages vaccination status vaccines vaccinated boosters ph failing providing vital information
"This is mind blowing. 
Short version:
- it turns out having exposure “common cold” coronavirus might lead to MORE severe C19 disease which may be why children fare so well against Covid
BUT!
- being vaccinated against early SARS-2 variants causes the SAME problem! 🤯 https://t.co/I2YbeJQa99 https://t.co/qJTkRp6TLU",v,3,mind blowing short version exposure common cold lead severe disease children fare vaccinated variants causes
"Medical device company EmitBio is testing a device that uses precise light frequencies it claims can keep the coronavirus at bay
https://t.co/eOliZ7OgWS",o,2,medical device company testing device precise light frequencies claims bay
"‘Get yr booster jab’ say health officials, as analysis by UK Health Security Agency shows 3rd dose prevents abt 75% of us frm getting Covid symptoms. Omicron is spreading so fast we’re all likely to come into contact w an infected person, a scientist said. https://t.co/CwBwmlEJfu",v,1,yr booster jab health officials analysis uk health security agency 3rd dose prevents 75 getting symptoms omicron spreading fast contact infected person scientist
@rushmeentweets Grateful for being alive and surviving Covid 19. 🙏🙏,l,1,grateful alive surviving 19
"No one I know has died from covid. 

You?",h,1,died
"@fact_covid @NHSEngland I am early 30s, had AZ &gt;8 months ago (not vulnerable group, was volunteering at vax centre!) and I was just able to book online, having not been able to book online yesterday. Getting boosted on Thursday 🥳 keep trying the website people!",v,1,am 30s az 8 months ago vulnerable volunteering centre able book online able book online yesterday getting boosted thursday trying website people
"The worst thing about having a cold in the covid era isn’t the misery, missing work, and missing fun activities. It’s desperately trying to hold in coughs and sneezes so people don’t think you’re trying to murder them",l,2,worst cold era misery missing missing fun activities desperately trying hold coughs sneezes people trying murder
Halton School boards are handing out free voluntary covid tests. What I find odd is they only want students using the tests if they are asymptomatic. WTF is the logic in this? The conspiracy theorist in me says they are trying to artificially raise the case count. W am I missing?,l,1,school boards handing free voluntary tests odd students using tests asymptomatic logic conspiracy theorist trying artificially raise count am missing
"""@bbrockmyer said, 'It’s important for SBA to carefully consider whether to approve forgiveness applications, to make these decisions free from undue influence, and to be transparent with the public about their process.'"" https://t.co/qVShLIZ5qr",o,2,sba carefully consider approve forgiveness applications decisions free undue influence transparent public process
"At least five omicron COVID cases detected in Berkeley and Alameda County. They are part of an outbreak involving 12 total cases linked to a wedding held in Wisconsin last weekend.

@sfchronicle 
https://t.co/bcXIN3CSY5",c,2,five omicron detected berkeley county outbreak involving 12 total linked wedding held wisconsin weekend
@InnerVoltRock But his Cheeto Champion had covid...,l,3,champion
"1. Natural immunity doesn't exist
2. 795K Americans are dead
3. Unvaxxed filling up hospitals 
4. Prior covid infection doesn't prevent re-infection or less severe disease. 
5. Vaccine provides a more robust immune response. https://t.co/kqSJqguMOA",c,3,1 natural immunity exist 2 americans dead 3 filling hospitals 4 prior infection prevent severe disease 5 vaccine provides robust immune response
